,names,Lat,Long,uni
218,ТОО «Алматинский Экономическо Правовой и Педагогический колледж»,43.268540014172,76.863409987122,False
219,ТОО «Медико-фармацевтический колледж № 1»,43.218542413872,76.972080641024,False
220,ТОО «Алматинский Национальный Медицинский колледж»,43.275058913638,76.891005894584,False
221,ТОО «Медицинский колледж ТАЛАНТ-К»,43.2518759647,76.927918313148,False
222,ТОО «Алматинский технолого-экономический колледж»,43.202525988781,76.876204962319,False
223,Учреждение «Школа –интернат –колледж имени Сулеймана Демиреля»,43.26202161762,76.959845878631,False
224,УО «Медицинский колледж имени «Мәриям»,43.2515622,76.9089372,False
225,ТОО «Гуманитарно-экономический колледж города Алматы»,49.626807793122,72.863570863993,False
226,Индустиально-технический колледж,42.312032358558,69.564123258806,False
227,"Колледж №4
 ",42.304693395271,69.641112137057,False
228,"Колледж легкой промышленности и сервиса
 ",42.3333103,69.6218093,False
229,"Колледж №6
 ",42.3036571,69.7379529,False
230,Колледж №10,42.313199229921,69.568851330042,False
231,Колледж искусств и дизайна им.а. Кастеева,42.323681826649,69.571839814416,False
232, Музыкальный колледж,42.323487513849,69.59946686849,False
233,Политехнический колледж,49.081370569519,79.299515339345,False
234,Дорожно-транспортный колледж,42.3333103,69.6218093,False
235,Колледж новых технологий имени Манапа Утебаева,42.3333103,69.6218093,False
236,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Коргалжын» при управлении образования Акмолинской области",50.583066786911,70.030292416937,False
237,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Каменка, Сандыктауский район» при управлении образования Акмолинской области",52.5,68.75,False
238,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Красный Яр» при управлении образования Акмолинской области",52.904157681812,69.144426169407,False
239,"Государственное коммунальное казенное предприятие «Агротехнический колледж, поселок Аршалы» при управлении образования Акмолинской области",50.8370121,72.1753096,False
240,"Государственное коммунальное казенное предприятие «Школа-интернат-колледж, село Бозайгыр, Шортандинский район» при управлении образования Акмолинской области",51.66667,71.0,False
241,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Астраханка» при управлении образования Акмолинской области",51.510506980825,69.804503139949,False
242,"Государственное коммунальное казенное предприятие «Агротехнический колледж, город Есиль» при управлении образования Акмолинской области",52.0,66.5,False
243,"Государственное коммунальное казенное предприятие «Агротехнический колледж, город Ерейментау» при управлении образования Акмолинской области",52.907338194972,69.165780827946,False
244,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Жанаесиль, Целиноградский район» при управлении образования Акмолинской области",52.954390888547,70.262394189025,False
245,"Государственное коммунальное казенное предприятие «Агротехнический колледж, город Акколь» при управлении образования Акмолинской области",51.980651408425,70.968105593216,False
246,"Государственное коммунальное казенное предприятие «Агротехнический колледж, село Егиндыколь» при управлении образования Акмолинской области",51.056810906649,69.480122313593,False
247,"Государственное коммунальное казенное предприятие «Высший технический колледж, город Кокшетау» при управлении образования Акмолинской области",53.272149215113,69.408597186864,False
248,"Государственное коммунальное казенное предприятие «Высший технический колледж, город Щучинск, Бурабайский район» при управлении образования Акмолинской области",52.937223409739,70.203642579822,False
249,"Государственное коммунальное казенное предприятие «Строительно-технологический колледж, город Кокшетау» при управлении образования Акмолинской области",53.295567498214,69.388726292825,False
250,"Государственное коммунальное казенное предприятие «Аграрно-индустриальный колледж, город Атбасар, Атбасарский район» при управлении образования Акмолинской области",52.641883405224,70.433607218058,False
251,"Государственное коммунальное казенное предприятие «Индустриально-технический колледж, город Степногорск» при управлении образования Акмолинской области",52.3519541,71.8937101,False
252,"Государственное коммунальное казенное предприятие «Горнотехнический колледж, город Степногорск» при управлении образования Акмолинской области",52.3519541,71.8937101,False
253,"Государственное коммунальное казенное предприятие «Высший агротехнический колледж, село Чаглинка» при управлении образования Акмолинской области",52.91667,69.16667,False
254,"Государственное коммунальное казенное предприятие «Высший  колледж лесного хозяйства, экологии и туризма, город Щучинск, Бурабайский район» при управлении образования Акмолинской области",52.9354327,70.2014913,False
255,"Государственное коммунальное казенное предприятие «Сельскохозяйственный колледж, село Катарколь, Бурабайского района» при управлении образования Акмолинской области",52.91667,70.16667,False
256,Государственное коммунальное казенное предприятие «Кокшетауский высший казахский педагогический колледж имени Ж. Мусина» при управлении образования Акмолинской области,53.263366112143,69.416244835321,False
257,"Государственное коммунальное предприятие на праве хозяйственного ведения «Высший педагогический колледж, город Щучинск» при управлении образования Акмолинской области",52.938391805132,70.202117827815,False
258,"Государственное коммунальное казенное предприятие «Высший колледж культуры имени Акана серэ, город Кокшетау» при управлении образования Акмолинской области",53.2714043,69.3724802,False
259,"Государственное коммунальное казенное предприятие «Музыкальный колледж имени Биржан сала, город Кокшетау» при управлении образования Акмолинской области",53.286288396123,69.374371193989,False
260,"ГККП ""Кокшетауский высший медицинский колледж"" при управлении здравоохранения Акмолинской области",53.277143194935,69.363778815308,False
261,Многопрофильный колледж при КГУ им. Ш.Уалиханова,51.78506568654,69.900559970708,False
262,"Учреждение ""Высший Кокшетауский колледж ""Арна""",53.287430146025,69.405333766186,False
263,"Учреждение колледж ""Бурабай"" г. Кокшетау",53.289543654904,69.416297892768,False
264,Учреждение «Высший Многопрофильный колледж гражданской защиты»,52.923374494036,70.154738281926,False
265,"ТОО  ""Кокшетауский юридический колледж""",53.286750197078,69.384497203578,False
266,"Учреждение ""Высший казахский гуманитарно-технический колледж""",53.281696231972,69.420631062196,False
267,"Учреждение ""Кокшетауский гуманитарно-технический колледж""",51.052469386677,69.474782037686,False
268,Учреждение «Колледж Максат»,52.338269288809,71.877403199616,False
269,Наименование колледжа,50.304000498869,57.157815963569,False
270,ГККП «Актюбинский гуманитарный колледж»,50.277553079779,57.218877122374,False
271,"ГККП «Актюбинский колледж транспорта, коммуникаций и новых технологий»",50.313160049413,57.13682214053,False
272,ГККП «Актюбинский Высший сельскохозяйственный колледж»,50.276932433023,57.173646218958,False
273,ГККП «Актюбинский колледж связи и электротехники»,49.076526099386,54.673062625655,False
274,ГККП «Актюбинский музыкальный колледж им. А. Жубанова»,49.077455191443,54.673530922585,False
275,ГКП «Актюбинский Высший  медицинский колледж имени героя Советского Союза Маншук Маметовой»  на ПХВ,50.28898339732,57.149914259626,False
276,ГККП «Актюбинский Высший политехнический колледж»,49.077895995731,54.661118665087,False
277,ГККП «Уилский аграрный колледж»,50.276932433023,57.173646218958,False
278,КГУ «Актюбинский областной специальный комплекс «школа- интернат- колледж» для детей с нарушением слуха и зрения»,50.320008886196,57.139739635,False
279,ГККП «Актюбинский колледж строительства и бизнеса»,50.314697106515,57.12401107751,False
280,КГУ «Актюбинский многопрофильный колледж»,50.305183520683,57.146298138959,False
281,ГККП «Актюбинский колледж сервиса»,50.26105921262,58.439905000124,False
282,ГККП «Хромтауский горно- технический высший колледж»,49.890590198287,57.320111401994,False
283,ГККП «Алгинский индустриально- технический колледж»,50.276932433023,57.173646218958,False
284,ГККП «Актюбинский автомобильно - дорожный колледж»,50.276060095185,57.22166410518,False
285,ГККП «Актюбинский колледж промышленных технологий и управления»,49.462913311768,57.424484201439,False
286,ГККП «Кандыагашский промышленно-экономический колледж»,50.432618711283,60.492112635249,False
287,ГККП «Айтекебийский многопрофильный колледж»,48.834971384534,58.14705982718,False
288,ГККП «Эмбинский колледж сферы услуг»,47.8351962,59.6329217,False
289,ГККП «Шалкарский аграрно-технический колледж»,50.566374682281,58.282468070316,False
290,ГККП «Бадамшинский агротехнический колледж»,50.8491211,56.204895,False
291,КГУ «Жайсанский многопрофильный колледж»,48.695634,55.8838078,False
292,ГККП «Байганинский технический колледж»,50.142759713411,55.658680310314,False
293,ГККП «Кобдинский многопрофильный колледж»,50.294924,57.2030963,False
294,«Областная специализированная школа-интернат-колледж олимпийского резерва имени Есет батыра»,50.151962707821,55.662941837526,False
295,ГКП «Высший колледж АРГУ имени К.Жубанова» на ПХВ,50.269517684481,57.221826378825,False
296,ЧУ «Актюбинский финансово-экономический колледж» (нет контингента),49.075811416412,54.672088732325,False
297,ЧУ «Актюбинский кооперативный колледж» (нет контингента),50.313160049413,57.13682214053,False
298,ЧУ «Многопрофильный колледж «Рауан»,50.306441309073,57.144745894309,False
299,ЧУ «Актюбинский колледж Нефти и Газа»,50.28622281751,57.224701203976,False
300,Негосударственное независимое некоммерческое образовательное учреждение «Экономико-правовой колледж»,48.825900572406,58.138051338787,False
301,ЧУ «Актюбинский гуманитарно-технический колледж»,50.28195408186,57.161053222213,False
302,ТОО «Баишев Высший Медицинский колледж»,50.306852189967,57.162242027541,False
303,"ЖШС ""Школа-Гимназия и Колледж КазГЮУ""",50.292238509419,57.201764125937,False
304,ЧУ «Актюбинский технико-технологический колледж»,50.269517684481,57.221826378825,False
305,ТОО «Актюбинский гуманитарно-технический универсальный мультипрофильный колледж»,50.294118318844,57.202086493933,False
306,ТОО «Актюбинский колледж АО «Казахская академия транспорта и коммуникаций  им. М.Тынышпаева»,50.290656215647,57.19852703493,False
307,ЧУ «Актюбинский строительно –монтажный колледж»,50.289936587349,57.225578034867,False
308,ЧУ «Многопрофильный колледж «Болашак»,50.301242182172,57.14936507733,False
309,ЧУ «Актюбинский учетно-финансовый колледж им.С.Раимова»,49.453664300709,57.411597192945,False
310,ЧУ «Мугалжарский гуманитарно-технический колледж»,50.271104420662,57.224458883155,False
311,ТОО «Актюбинский многопрофильный колледж АГУ Тарлан»,50.262425483792,57.231618034296,False
312,ЧУ «Колледж медресе Актобе»,50.26057527482,57.233350579621,False
313,ГККП Алматинский экономический колледж,43.3555112,77.460614,False
314,ГККП Есикский гуманитарно-экономический колледж,43.2232001,76.5939011,False
315,"ГККП Ушконырский
колледж водного хозяйства",43.20011419454,76.623903739245,False
316,ГККП Каскеленский колледж культуры,44.180970985527,80.011151162913,False
317,ГККП Жаркентский гуманитарно-технический колледж,43.557208035059,79.453039220757,False
318,ГККП Талдыкорганский юридический колледж,45.011991707973,78.347551138104,False
319,ГККП Талдыкорганский политехнический колледж,45.007920919456,78.353000161402,False
320,ГККП Талдыкорганский агро-технический колледж,45.010291992226,78.353625032284,False
321,ГККП Талдыкорганский музыкальный колледж,43.206621302854,76.318936895728,False
322,ГККП Коксуский сельскохозяйственный колледж,43.33835929843,77.258618838614,False
323,ГККПТалгарский колледж агробизнеса и менеджмента им.М.Бейсебаева,44.310432600434,76.816747131013,False
324,ГККП Сарканский гуманитарный колледж,43.309183405788,77.23075201737,False
325,ГКППХВ Талгарский медицинский колледж,45.011830197187,78.348371925926,False
326,ГКППХВ Талдыкорганский медицинский колледж,45.01573591261,78.356257620433,False
327,ГККП колледж сервис и технологий,43.198319991677,76.637720035686,False
328,ГККП Многопрофильный колледж  профессионального  обучения Карасайский район,43.256853895731,76.311956116835,False
329,ГККП колледж промышленной индустрии и новых технологий,43.303215654902,77.217937628696,False
