,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
484,484,499,499,499,Учреждение «Колледж предпринимательства КИнЭУ»,Костанайская область,True,"г.Костанай,
ул.Аль-Фараби,99","Костанайская область, г.Костанай,
ул.Аль-Фараби,99",53.217159194507,63.625974740659
485,485,500,500,500,Учреждение «Костанайский высший экономический колледж Казпотребсоюза»,Костанайская область,True,"г. Кызылорда, ул. Коркыт ата № 24","Костанайская область, г. Кызылорда, ул. Коркыт ата № 24",44.839585313964,65.497680877101
486,486,503,503,503,Кызылординский гуманитарный колледж имени М. Маметовой,Кызылординская область,True,г.Кызылорда ул. Жахаева № 66 ,"Кызылординская область, г.Кызылорда ул. Жахаева № 66 ",44.8386622,65.5146179
487,487,504,504,504,Кызылординский аграрно-технический колледж имени И. Абдукаримова,Кызылординская область,True,"г. Кызылорда, ул. Желтоксан № 37","Кызылординская область, г. Кызылорда, ул. Желтоксан № 37",44.831524102405,65.504895013526
488,488,505,505,505,Кызылординский музыкальный колледж имени Казангапа,Кызылординская область,True,г. Кызылорда ул.Жахаева № 78,"Кызылординская область, г. Кызылорда ул.Жахаева № 78",44.8386622,65.5146179
489,489,506,506,506,Кызылординский медицинский колледж,Кызылординская область,True,"г.Аральск, переулок Айтьеке би № 16а","Кызылординская область, г.Аральск, переулок Айтьеке би № 16а",46.809895965995,61.681010306819
490,490,507,507,507,«Аральский многопрофильный колледж»,Кызылординская область,True,"пос. Жалагаш, ул.Абая № 4","Кызылординская область, пос. Жалагаш, ул.Абая № 4",45.0778825,64.6763837
491,491,508,508,508,Жалагашский индустриально-аграрный колледж,Кызылординская область,True,"кент Айтеке би, ул. Михайлюк № 12 ","Кызылординская область, кент Айтеке би, ул. Михайлюк № 12 ",45.855013838379,62.157052920237
492,492,509,509,509,«Казалинский транспортно-технический колледж»,Кызылординская область,True,"г.Кызылорда, пр. Абая № 33","Кызылординская область, г.Кызылорда, пр. Абая № 33",44.8386622,65.5146179
493,493,510,510,510,«Кызылординский колледж строительства и бизнеса»,Кызылординская область,True,"пос.Гагарина, ул. Камалова б/н №","Кызылординская область, пос.Гагарина, ул. Камалова б/н №",45.655591897972,63.303727779213
